Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,899,1155
2,518,1181
3,620,1187
4,533,1191
5,339,1196
6,721,1223
7,1303,1234
8,394,1243
9,1233,1246
10,811,1247
11,792,1249
12,346,1251
13,377,1253
14,1140,1257
15,503,1261
16,1036,1263
17,1803,1267
18,1339,1273
19,1265,1277
20,1829,1290
21,1460,1292
22,1122,1294
23,1807,1296
24,154,1300
25,501,1307
26,1883,1314
27,1454,1315
28,871,1325
29,1266,1329
30,755,1335
31,686,1345
32,409,1348
33,692,1351
34,105,1357
35,868,1365
36,609,1371
37,1861,1374
38,1023,1376
39,1599,1396
40,737,1400
41,850,1409
42,1559,1419
43,1890,1420
44,964,1422
45,1755,1423
46,1384,1424
47,1049,1430
48,1845,1435
49,1553,1441
50,1825,1445
51,1193,1448
52,680,1450
53,872,1461
54,1728,1468
55,80,1474
56,311,1484
57,862,1490
58,995,1493
59,155,1494
60,1215,1509
61,1680,1510
62,236,1524
63,795,1538
