Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,340,249
2,104,250
3,67,252
4,301,253
5,213,257
6,221,258
7,324,259
8,373,263
9,156,265
10,322,268
11,194,269
12,411,275
13,408,276
14,109,278
15,302,279
16,274,280
17,254,281
18,425,282
19,111,284
20,137,289
21,65,290
22,470,292
23,314,293
24,227,294
25,312,295
26,255,296
27,317,298
28,251,299
29,356,308
30,238,309
31,518,315
32,94,318
33,50,319
34,62,323
35,38,326
36,182,329
37,205,342
38,160,343
39,371,344
40,307,345
41,384,346
42,465,348
43,493,350
44,87,353
45,73,355
46,338,357
47,46,359
48,242,372
49,246,374
50,419,376
51,225,377
52,172,378
53,331,380
54,364,381
55,236,382
56,146,383
57,76,385
58,283,386
59,108,387
60,32,388
61,369,389
62,102,390
63,202,394
