Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,139,999
2,88,1001
3,1211,1006
4,1043,1015
5,232,1016
6,1456,1019
7,1082,1021
8,165,1022
9,163,1029
10,267,1034
11,1439,1038
12,200,1039
13,423,1047
14,432,1052
15,220,1057
16,1593,1059
17,1243,1062
18,1319,1063
19,1151,1067
20,881,1069
21,557,1078
22,1177,1079
23,240,1085
24,287,1091
25,86,1097
26,1819,1099
27,1835,1100
28,251,1111
29,787,1113
30,1168,1117
31,503,1118
32,1365,1119
33,958,1123
34,709,1125
35,468,1128
36,1362,1130
37,1678,1132
38,1306,1134
39,677,1137
40,1764,1138
41,449,1144
42,912,1153
43,1802,1156
44,467,1158
45,440,1160
46,1745,1162
47,161,1163
48,518,1166
49,1027,1174
50,369,1181
51,1120,1194
52,1463,1197
53,853,1203
54,1152,1207
55,1459,1215
56,413,1222
57,1045,1231
58,229,1236
59,880,1240
60,1554,1245
61,1734,1250
62,841,1257
63,484,1261
