Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,410,214
2,319,218
3,375,219
4,532,221
5,178,224
6,37,227
7,494,228
8,816,229
9,72,234
10,223,237
11,706,239
12,285,241
13,766,242
14,801,243
15,804,246
16,557,247
17,695,250
18,318,255
19,545,256
20,216,257
21,206,258
22,521,259
23,290,260
24,378,265
25,594,271
26,453,273
27,263,283
28,483,284
29,679,287
30,220,288
31,47,289
32,414,291
33,499,294
34,633,296
35,479,301
36,103,302
37,317,303
38,334,304
39,143,306
40,515,308
41,157,309
42,147,313
43,527,315
44,576,324
45,611,326
46,697,332
47,41,335
48,5,337
49,253,342
50,421,345
51,592,346
52,400,348
53,251,355
54,344,358
55,485,359
56,569,361
57,518,365
58,757,366
59,210,368
60,405,370
61,64,376
62,17,377
63,662,379
64,254,380
65,564,382
66,183,383
67,707,385
68,90,388
69,386,391
70,469,399
71,231,403
72,248,404
73,160,407
74,422,413
75,737,416
76,33,419
77,648,426
78,286,427
79,431,430
80,128,436
81,630,438
82,331,442
83,120,446
84,268,447
85,463,449
86,420,454
87,609,456
88,240,458
89,156,461
90,763,466
91,656,468
92,32,470
93,266,472
94,686,474
95,113,475
96,150,481
