Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,129,990
2,889,996
3,1412,997
4,1143,1002
5,198,1004
6,184,1008
7,1448,1013
8,1715,1026
9,943,1028
10,230,1029
11,1553,1038
12,588,1047
13,519,1050
14,1383,1055
15,73,1059
16,134,1060
17,1214,1080
18,1085,1090
19,930,1097
20,1343,1100
21,1296,1101
22,1457,1105
23,509,1108
24,1258,1118
25,994,1119
26,679,1126
27,155,1129
28,1456,1133
29,587,1135
30,1092,1137
31,1373,1139
32,224,1144
33,261,1148
34,978,1152
35,842,1156
36,1686,1159
37,1498,1161
38,1351,1164
39,138,1173
40,173,1184
41,200,1197
42,1496,1200
43,1797,1202
44,1241,1213
45,270,1219
46,1325,1235
47,236,1236
48,248,1237
49,1162,1238
50,574,1251
51,1186,1256
52,1391,1262
53,1044,1266
54,1370,1267
55,428,1268
56,1354,1270
57,1850,1271
58,1643,1272
59,194,1279
60,633,1284
61,638,1285
62,1243,1287
63,1070,1289
