Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,145,233
2,196,237
3,267,243
4,36,244
5,273,245
6,116,247
7,105,258
8,106,259
9,78,261
10,483,262
11,460,263
12,400,266
13,361,269
14,85,270
15,178,271
16,89,272
17,21,274
18,149,275
19,351,276
20,319,279
21,265,281
22,222,282
23,132,283
24,248,284
25,374,285
26,375,288
27,293,291
28,369,296
29,325,297
30,67,298
31,242,302
32,165,303
33,48,305
34,76,306
35,93,307
36,337,308
37,214,310
38,354,312
39,112,318
40,24,326
41,260,333
42,120,341
43,481,342
44,446,343
45,194,344
46,29,346
47,336,347
48,410,348
49,500,349
50,39,353
51,227,355
52,299,377
53,345,380
54,363,382
55,328,383
56,366,384
57,182,385
58,292,387
59,66,391
60,40,392
61,513,394
62,131,395
63,304,417
