Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,1869,889
2,628,892
3,1067,893
4,276,894
5,598,898
6,286,904
7,1362,905
8,1646,906
9,554,908
10,1205,909
11,474,911
12,863,914
13,1543,915
14,1019,916
15,532,918
16,481,919
17,701,925
18,658,928
19,567,930
20,935,931
21,1333,936
22,661,945
23,669,946
24,231,949
25,91,951
26,466,956
27,507,958
28,1141,961
29,1817,962
30,1783,964
31,711,967
32,395,970
33,1385,971
34,1371,974
35,1324,975
36,1334,979
37,204,980
38,1195,982
39,718,984
40,355,990
41,194,994
42,1523,996
43,304,997
44,288,1001
45,1169,1002
46,1700,1004
47,824,1008
48,1239,1011
49,272,1013
50,1813,1014
51,891,1017
52,1192,1026
53,108,1027
54,1487,1028
55,1343,1029
56,225,1032
57,849,1033
58,518,1036
59,903,1038
60,622,1043
61,646,1047
62,313,1050
63,418,1055
