Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,252,359
2,368,362
3,14,369
4,806,370
5,156,374
6,100,375
7,321,384
8,183,385
9,424,386
10,297,387
11,782,394
12,761,395
13,47,398
14,622,403
15,237,409
16,365,410
17,477,413
18,776,414
19,360,420
20,804,427
21,264,431
22,590,432
23,566,434
24,466,443
25,588,444
26,565,447
27,163,453
28,118,456
29,816,457
30,159,460
31,30,465
32,488,467
33,733,468
34,569,469
35,177,474
36,317,479
37,399,482
38,802,483
39,144,487
40,714,506
41,323,511
42,179,512
43,372,515
44,419,516
45,112,520
46,508,522
47,202,530
48,331,532
49,503,537
50,221,538
51,254,540
52,534,541
53,234,544
54,694,567
55,803,582
56,620,584
57,300,597
58,504,601
59,95,603
60,750,604
61,731,608
62,683,609
63,225,616
64,513,618
65,19,619
66,367,625
67,273,631
68,148,633
69,165,636
70,371,638
71,84,640
72,521,646
73,412,647
74,593,653
75,595,665
76,552,668
77,32,673
78,58,674
79,283,685
80,462,686
81,563,687
82,351,690
83,693,691
84,613,700
85,794,705
86,459,709
87,284,716
88,96,724
89,529,741
90,660,745
91,366,757
92,78,770
93,235,787
94,142,790
95,246,792
96,389,807
