Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,600,1191
2,1577,1199
3,1374,1201
4,1810,1202
5,109,1211
6,649,1215
7,1224,1233
8,523,1237
9,438,1248
10,1318,1249
11,1143,1250
12,1081,1251
13,1220,1258
14,136,1259
15,635,1271
16,818,1280
17,455,1288
18,1330,1290
19,1618,1310
20,522,1320
21,1361,1322
22,284,1324
23,1573,1336
24,286,1342
25,1076,1343
26,666,1345
27,1514,1360
28,917,1366
29,889,1370
30,1662,1375
31,642,1384
32,813,1391
33,1830,1392
34,126,1398
35,1850,1420
36,369,1424
37,1232,1429
38,1072,1430
39,1252,1447
40,655,1456
41,1135,1462
42,1522,1464
43,88,1466
44,196,1467
45,1853,1470
46,1200,1474
47,437,1477
48,726,1479
49,258,1482
50,501,1488
51,483,1494
52,607,1495
53,309,1496
54,634,1505
55,257,1513
56,1677,1517
57,213,1524
58,1761,1528
59,722,1531
60,135,1535
61,626,1539
62,1373,1545
63,1489,1549
