Extra bits,Payloadb_NonPunc(b),Payloadc_Punc(c)
1,1296,1194
2,1849,1197
3,604,1198
4,1584,1204
5,1381,1215
6,1811,1233
7,110,1247
8,653,1249
9,1230,1250
10,526,1251
11,440,1258
12,1327,1270
13,1153,1278
14,1087,1287
15,1227,1288
16,136,1312
17,639,1322
18,822,1324
19,458,1325
20,1335,1336
21,1625,1342
22,525,1344
23,1367,1360
24,286,1365
25,1582,1368
26,288,1371
27,1083,1378
28,670,1383
29,1521,1384
30,922,1396
31,895,1413
32,1667,1416
33,646,1421
34,818,1422
35,1832,1439
36,127,1447
37,1850,1454
38,371,1456
39,1240,1459
40,1079,1460
41,1257,1463
42,659,1467
43,1143,1470
44,1530,1471
45,88,1475
46,197,1481
47,1855,1487
48,1209,1489
49,441,1500
50,730,1509
51,259,1512
52,504,1518
53,486,1525
54,610,1528
55,311,1533
56,638,1542
57,258,1551
58,1679,1558
59,214,1567
60,1762,1572
61,727,1574
62,137,1578
63,630,1579
